"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"53",2016-03-01,"宜蘭縣",61782811,0.2426,54578727,0.2143,4861118,0.0191,133454198,0.524,254676854,0.0162,254683747.083528,61786277.0424638,4864459.56929538,133454283.471769
"54",2016-03-01,"新竹縣",78551190,0.1115,61246146,0.0869,1223931,0.0017,563738214,0.7999,704759481,0.0448,704788791.714615,78583950.2761795,1198140.94591484,563760554.49252
"55",2016-03-01,"苗栗縣",75551822,0.1342,55557299,0.0987,1532701,0.0027,430240081,0.7644,562881903,0.0358,562890567.375887,75539914.141844,1519804.53191489,430273549.702128
"56",2016-03-01,"彰化縣",165132711,0.2099,132495750,0.1685,29196639,0.0371,459718215,0.5845,786543315,0.05,786324925.816024,165049601.928783,29172654.7477745,459606919.139466
"57",2016-03-01,"南投縣",58545104,0.284,46946089,0.2277,7775331,0.0377,92886764,0.4506,206153288,0.0131,206175182.257356,58553751.7610891,7772804.37110233,92902537.1251647
"58",2016-03-01,"雲林縣",92879448,0.2296,59483032,0.1471,26535040,0.0656,225575861,0.5577,404473381,0.0257,404371393.609789,92843671.9728076,26526763.4208022,225517926.216179
"59",2016-03-01,"嘉義縣",65959206,0.3353,41199234,0.2094,16821831,0.0855,72740595,0.3698,196720866,0.0125,196748968.481375,65969929.1318052,16822036.8051576,72757768.5444126
"60",2016-03-01,"屏東縣",113927080,0.3361,78194400,0.2307,57124231,0.1685,89730320,0.2647,338976031,0.0216,338944083.224967,113919106.371912,57112078.023407,89718498.8296489
"61",2016-03-01,"台東縣",26638713,0.4,27426799,0.4118,2407244,0.0361,10129880,0.1521,66602636,0.0042,66602231.6658572,26640892.6663429,2404340.56313745,10130199.4363769
"62",2016-03-01,"花蓮縣",42760350,0.2359,51573697,0.2845,2145550,0.0118,84804325,0.4678,181283922,0.0115,181278372.58348,42763568.0924429,2139084.79648506,84802022.6945518
"63",2016-03-01,"基隆市",47780072,0.4652,37902147,0.369,7454,1e-04,17017527,0.1657,102707200,0.0065,102715845.528455,47783411.3398374,10271.5845528455,17020015.604065
"64",2016-03-01,"新竹市",72305359,0.0897,90451914,0.1122,590293,7e-04,643149601,0.7975,806497167,0.0513,806166791.44385,72313161.1925134,564316.754010695,642918016.176471
"65",2016-03-01,"嘉義市",37121352,0.449,38527578,0.466,433077,0.0052,6602358,0.0799,82684365,0.0053,82677206.0085837,37122065.4978541,429921.471244635,6605908.76008584
"66",2016-03-01,"澎湖縣",13276723,0.4453,12807677,0.4296,346005,0.0116,3385734,0.1136,29816139,0.0019,29813028.3985102,13275741.5458566,345831.129422719,3386760.02607076
"67",2016-03-01,"金門縣",9321469,0.4353,9891952,0.4619,201667,0.0094,2000969,0.0934,21416057,0.0014,21415786.9668759,9322292.0666811,201308.397488634,2000234.50270621
"68",2016-03-01,"連江縣",2398545,0.4417,2561330,0.4716,15433,0.0028,455298,0.0838,5430606,3e-04,5431149.27905004,2398938.6365564,15207.2179813401,455130.309584394
"69",2016-03-01,"合計",3313863782,0.2107,3314578503,0.2108,212974114,0.0135,8883998500,0.5649,15725414899,1,15723806940.2277,3313006122.30598,212271393.693074,8882378540.53463
"70",2016-04-01,"新北市",576296689,0.3975,447394938,0.3086,1615708,0.0011,424668280,0.2929,1449975615,0.0915,1449756766.04018,576278314.500972,1594732.4426442,424633756.773169
"71",2016-04-01,"台北市",365587917,0.3291,710472928,0.6395,1546308,0.0014,33355844,0.03,1110962997,0.0701,1110981904.61298,365624144.808131,1555374.66645817,33329457.1383894
"72",2016-04-01,"桃園市",362998695,0.1632,319176162,0.1435,2141787,0.001,1540502812,0.6924,2224819456,0.1404,2224224125.43554,362993377.27108,2224224.12543554,1540052784.45157
"73",2016-04-01,"台中市",400804151,0.1984,454525212,0.225,12661607,0.0063,1152554105,0.5704,2020545075,0.1275,2020112053.33333,400790231.381333,12726705.936,1152271915.22133
"74",2016-04-01,"台南市",261563530,0.1252,241573025,0.1157,26641988,0.0128,1558651190,0.7463,2088429733,0.1318,2087925885.91184,261408320.916162,26725451.3396716,1558219088.65601
"75",2016-04-01,"高雄市",323796103,0.1516,426508868,0.1997,17968027,0.0084,1367708947,0.6403,2135981945,0.1348,2135747961.94291,323779391.030546,17940282.8803205,1367519420.03205
"76",2016-04-01,"宜蘭縣",62314580,0.2518,52721608,0.213,5018973,0.0203,127429866,0.5149,247485027,0.0156,247519286.384977,62325356.3117371,5024641.51361502,127447680.559624
"77",2016-04-01,"新竹縣",88526444,0.1212,68597216,0.0939,1253525,0.0017,571881232,0.7831,730258417,0.0461,730534781.682641,88540815.5399361,1241909.12886049,572081787.535676
"78",2016-04-01,"苗栗縣",64516229,0.1141,54373640,0.0961,1614600,0.0029,445052660,0.7869,565557129,0.0357,565802705.515088,64558088.6992716,1640827.84599376,445230148.969823
"79",2016-04-01,"彰化縣",167673910,0.2074,143649010,0.1777,30541986,0.0378,466437000,0.5771,808301906,0.051,808379347.214406,167657876.612268,30556739.3247046,466515721.277434
"80",2016-04-01,"南投縣",71691080,0.3195,50968122,0.2271,7890792,0.0352,93853481,0.4182,224403475,0.0142,224430303.830911,71705482.0739762,7899946.69484808,93856753.0620872
"81",2016-04-01,"雲林縣",92419165,0.2305,59226995,0.1477,24941657,0.0622,224421042,0.5596,401008859,0.0253,400995226.811104,92429399.7799594,24941903.1076506,224396928.923494
"82",2016-04-01,"嘉義縣",60141971,0.2948,44440495,0.2178,15563392,0.0763,83874879,0.4111,204020737,0.0129,204042676.767677,60151781.1111111,15568456.2373737,83881944.4191919
