"","date","city","house","agri","industry","Total"
"88",2016-04-01,"澎湖縣",11633093.576275,378356.566939891,3364083.3886612,27417142.5318761
"89",2016-05-01,"台中市",426290337.634365,14622096.0138436,1256150525.25081,2249553232.89902
"90",2016-05-01,"台北市",402138719.386381,1699545.95319342,37651479.5784388,1307343040.91801
"91",2016-05-01,"台東縣",28450728.5408665,2745711.47208575,10687037.1938365,75848383.2067887
"92",2016-05-01,"台南市",281296635.234313,31005539.6664019,1651606681.79508,2246778236.69579
"93",2016-05-01,"宜蘭縣",62250761.3550935,6341104.86278586,136347246.26237,269834249.480249
"94",2016-05-01,"花蓮縣",45607600.6760563,2494165.66197183,86622769.3395931,197949655.71205
"95",2016-05-01,"金門縣",9186960.76086517,257625.090762078,3194050.88255508,25012144.7341823
"96",2016-05-01,"南投縣",59034319.3697513,9413217.21157766,100676599.320016,224124219.323278
"97",2016-05-01,"屏東縣",128084356.180223,63460329.106858,99069486.8819777,387899322.169059
"98",2016-05-01,"苗栗縣",77030777.7083708,1924266.10981098,455570001.49775,601333159.315932
"99",2016-05-01,"桃園市",306553887.08785,2560434.89595016,1644963037.24361,2327668087.22741
"100",2016-05-01,"高雄市",469909750.047872,20114754.643617,1432267469.20213,2423464414.89362
"101",2016-05-01,"基隆市",47698370.964001,11183.674317468,17837960.5363614,111836743.17468
"102",2016-05-01,"連江縣",2334598.1316335,18532.8826699834,468772.914593698,5450847.84411277
"103",2016-05-01,"雲林縣",99489468.5301645,30663645.0786106,242898917.784278,446341267.519805
"104",2016-05-01,"新北市",604504839.871338,1966935.48765078,461902017.016657,1639112906.37565
"105",2016-05-01,"新竹市",74745334.8913043,789563.39673913,688762469.755435,877292663.043478
"106",2016-05-01,"新竹縣",79016453.4756477,1717748.98860104,624792154.853886,780794994.818653
"107",2016-05-01,"嘉義市",40171206.1400429,566771.967817437,7716053.4566023,99433678.5644626
"108",2016-05-01,"嘉義縣",68864446.8975444,19458823.5965284,79594284.0897544,219873712.955123
"109",2016-05-01,"彰化縣",171907493.296518,37042282.3188248,500766441.019042,869537143.634385
"110",2016-05-01,"澎湖縣",13777784.2921184,459840.082568807,3887738.87989992,34836369.8915763
"111",2016-06-01,"台中市",471648698.345499,14951399.6593674,1220124826.74777,2265363584.75264
"112",2016-06-01,"台北市",432603958.618026,1767950.78969957,38350932.5150215,1359962145.92275
"113",2016-06-01,"台東縣",34659416.8958186,2921772.10063785,10699211.3026223,83718398.2990787
"114",2016-06-01,"台南市",327726669.772727,33343619.3636364,1626300777.31818,2283809545.45455
"115",2016-06-01,"宜蘭縣",67754715.8823529,6479716.87605042,130642922.409664,268867920.168067
"116",2016-06-01,"花蓮縣",54291073.3516661,2532891.37625364,86616580.5059851,207614047.233905
"117",2016-06-01,"金門縣",8245844.15350107,239151.443339185,3404247.58630778,24403208.5039984
"118",2016-06-01,"南投縣",77378449.9181596,10044673.1042345,98304852.2186482,246192968.241042
"119",2016-06-01,"屏東縣",133197112.407304,62692425.5363239,94874278.1984915,388669718.14212
"120",2016-06-01,"苗栗縣",72526651.2028095,2172863.23441615,445671867.188762,587260333.625988
"121",2016-06-01,"桃園市",378087236.883848,2409733.82335148,1630907851.64428,2409733823.35148
"122",2016-06-01,"高雄市",434282000.578139,19635090.4516712,1344657194.34327,2310010641.37308
"123",2016-06-01,"基隆市",58408767.7521851,12645.3275064267,18841537.9845758,126453275.064267
"124",2016-06-01,"連江縣",1847635.20733062,13961.9788967049,515558.998519067,5171103.2950759
"125",2016-06-01,"雲林縣",110956826.374603,34112346.6209524,241262322.472381,458499282.539683
"126",2016-06-01,"新北市",652988312.45842,1847921.64575318,457444603.762356,1679928768.86653
