"total.price.NTD.1","The.villages.and.towns.urban.district","land.sector.position.building.sector.house.number.plate","day","busfar","convifar","all_post_office","all.police.station.far","schoolfar","hospital.far","materials","guard"
163946.371320315,"新店區","新北市新店區安康路二段１５９巷３３號四樓",8235,3700,6000,8900,4100,1500,6000,3,1
93551.8519801809,"汐止區","新北市汐止區國興街１６巷２２號１１樓、國興街１６巷２４號１１樓",9462,7000,6800,8400,6800,6400,7800,3,1
71574.3638590284,"八里區","新北市八里區龍米路一段１９８號十五樓之４",6092,8700,6200,8200,8300,7600,7900,3,1
85929.1084854995,"八里區","新北市八里區龍米路一段２００號十四樓之６",6102,8700,6200,8200,8300,7600,7800,3,1
93587.5216637782,"八里區","新北市八里區龍米路一段２０８號六樓之８",5553,8700,6100,8100,8300,7500,7800,3,1
89827.0828654839,"淡水區","新北市淡水區自強路８０巷１９號十八樓",10707,6800,6600,8000,7500,7300,1700,3,1
148484.040188495,"新店區","新北市新店區禾豐二路３８號二樓",8785,6400,9100,8000,6800,7000,8200,3,1
36782.1547223541,"金山區","新北市金山區山城路１０巷２８弄１號",9238,6900,7000,7800,7500,3800,6100,3,1
53988.7187751813,"八里區","新北市八里區龍形二街３９號五樓",10655,8300,5800,7800,7900,7200,7500,3,1
92092.0920920921,"板橋區","新北市板橋區溪崑二街７６號二樓之五",13443,5200,6900,7800,4900,5500,7100,3,1
139085.384078908,"樹林區","新北市樹林區學勤路３８８號二十七樓",5043,8300,8300,7800,7600,6800,6800,3,1
48833.4237655996,"瑞芳區","新北市瑞芳區大埔路１６０之１號四樓",9625,6700,9500,7700,6900,8400,6600,3,0
114970.05988024,"八里區","新北市八里區龍米路一段３８８之１５號五樓",539,8300,5700,7700,7900,7100,7400,3,1
126347.305389222,"八里區","新北市八里區龍米路一段３８８之１３號十五樓",544,8300,5700,7700,7900,7100,7400,3,1
37244.76382438,"三峽區","新北市三峽區紫新路５７號三樓",9626,7200,7100,7600,7300,8400,10600,3,1
95902.3539668701,"板橋區","新北市板橋區大觀路三段２１２巷３２號六樓",11421,4900,6600,7500,4600,6300,6800,3,0
139863.975427819,"板橋區","新北市板橋區金門街８５號五樓",4004,4800,6500,7400,4500,5100,6600,3,1
71818.7889502762,"汐止區","新北市汐止區湖前街１１０巷９７弄１１之２號５樓",8275,5500,5700,7200,5200,4800,6300,3,1
74690.5676483141,"八里區","新北市八里區龍米路二段３６號十八樓之５",3204,7600,6100,7100,7200,6500,6700,3,1
106546.460403647,"八里區","新北市八里區龍米路二段３６號十樓之３",3190,7600,6100,7100,7200,6500,6700,3,1
165975.10373444,"新店區","新北市新店區頂城六街８號二樓之１",5522,3600,6300,6900,4000,6200,5400,3,1
90909.0909090909,"淡水區","新北市淡水區自立路１巷１號六樓",9021,7600,5600,6800,7500,6300,1700,3,1
135805.481011629,"土城區","新北市土城區中央路四段２５７號十二樓",2514,4400,6200,6800,3900,3700,4400,3,1
109452.736318408,"新店區","新北市新店區安德街７１巷８號四樓之一",11084,3500,5700,6700,3900,1700,5700,3,1
84199.3841416474,"新店區","新北市新店區北宜路二段５７９巷１９號",15951,3600,7300,6600,4800,8900,6500,3,1
69997.7988113581,"樹林區","新北市樹林區柑園街一段３３巷６５號三樓",8245,5700,7400,6400,6200,5800,5400,3,1
90826.5213442325,"汐止區","新北市汐止區康寧街３０７巷１弄８號１３樓",10674,4700,4900,6400,4200,4000,5500,3,1
133148.404993065,"淡水區","新北市淡水區民權路２２１號九樓",5442,5400,6100,6400,6400,5800,1200,1,1
53696.5490144719,"汐止區","新北市汐止區福德二路３５３號３樓",10995,4600,5200,6300,4300,3800,5400,3,1
74790.3907432936,"五股區","新北市五股區五權七路１４號五樓",9445,6100,4500,6300,5300,5200,4900,3,1
125412.541254125,"淡水區","新北市淡水區民權路２２３號十三樓之５",5444,5100,5800,6300,6200,5600,950,1,1
165837.479270315,"淡水區","新北市淡水區民權路２１５巷１００號",16955,6800,4800,6200,6100,5500,850,3,0
108178.277801817,"汐止區","新北市汐止區民族五街１６號３樓之８",8495,4400,4600,6100,4100,3600,5100,3,1
124170.777343086,"淡水區","新北市淡水區民族路３１巷２１號十六樓之６",8612,6600,4600,6100,5900,5300,650,3,1
108399.138549892,"新店區","新北市新店區北宜路二段４２１巷２弄９３號",3185,3000,6700,6000,4300,8300,5900,3,1
123569.794050343,"汐止區","新北市汐止區湖前街７７巷１２弄４號１３樓之２",10135,4300,4500,6000,4000,3500,5000,3,1
160333.950002372,"三重區","新北市三重區三德街６０號二樓",3184,2600,4300,5900,4100,4100,4000,3,1
90462.687599419,"新店區","新北市新店區北宜路二段４２１巷２弄９９號四樓",3180,2800,6500,5800,4100,8100,5700,3,1
94062.6359286646,"汐止區","新北市汐止區福德一路１４１巷２４號三樓",9987,4100,4300,5800,3800,3400,4900,3,1
103640.367923306,"汐止區","新北市汐止區伯爵街６２之１號４樓",9329,4200,4400,5800,3900,3400,4900,3,1
127669.241253975,"汐止區","新北市汐止區福德二路１５６巷２７號",10262,4100,4300,5800,3800,3200,4800,3,1
141585.326611606,"汐止區","新北市汐止區福德一路１４１巷３７號２樓",10115,4000,4300,5800,3800,3300,4800,3,1
141940.054013371,"板橋區","新北市板橋區合宜一路８５號",1645,3200,5000,5800,3100,2900,5300,3,1
150406.504065041,"新店區","新北市新店區安民街１５６巷２６號八樓",4431,3600,4800,5800,5100,3000,4800,3,1
155367.976787127,"三重區","新北市三重區集英路１３８號五樓",-94,4100,4600,5700,4900,3900,4200,3,1
159209.545115585,"三重區","新北市三重區集英路１４２號六樓",-101,4100,4600,5700,4700,3900,4200,3,1
163809.021366394,"三重區","新北市三重區集英路１３８號十二樓",-109,4100,4600,5700,4600,3900,4200,3,1
164635.481281471,"三重區","新北市三重區集英路１３６號十三樓",-107,4100,4600,5700,4600,3900,4200,3,1
167062.34063132,"三重區","新北市三重區集英路１３８號三樓",2,4100,4600,5700,4600,3900,4200,3,1
170705.940840169,"三重區","新北市三重區集英路１４２號三樓",30,4100,4600,5700,4600,3900,4200,3,1
182917.834488863,"三重區","新北市三重區集英路８１號八樓",2554,4000,4600,5700,4700,3900,4300,3,1
66113.7440758294,"淡水區","新北市淡水區八勢路一段２０２號四樓",10566,6200,5200,5600,5500,4900,3300,3,1
69896.9316431702,"淡水區","新北市淡水區八勢路一段２０２號十樓",10571,6200,5200,5600,5500,4900,3400,3,1
